ANO;MÊS;DIA;HORA;360MIN;180MIN;CANAL;qtd_ENTs;TMC;TME
2021;3;15;10;Q1;QQ1;PORTAL;24;245,58;13447,17
2021;3;15;13;Q1;QQ2;PORTAL;6;159,17;249,17
2021;3;15;16;Q2;QQ3;PORTAL;2;1063,5;13239,5
2021;3;16;9;Q1;QQ1;PORTAL;23;268852,74;277911,22
2021;3;16;12;Q1;QQ2;PORTAL;15;26412,27;3171,87
2021;3;17;8;Q1;QQ1;PORTAL;15;33285,73;48431,4
2021;3;17;11;Q1;QQ2;PORTAL;6;64410,67;2462
2021;3;18;10;Q1;QQ1;PORTAL;14;66925,43;28733,29
2021;3;18;13;Q1;QQ2;PORTAL;12;61221;5063,58
2021;3;19;12;Q1;QQ2;PORTAL;4;648,75;3838,5
2021;3;22;9;Q1;QQ1;PORTAL;3;3763,67;2911,67
2021;3;23;8;Q1;QQ1;PORTAL;4;16023,5;35613,5
2021;4;5;16;Q2;QQ3;PORTAL;11;33268;3146
2021;4;6;15;Q2;QQ3;PORTAL;1;33;3805
2021;4;6;18;Q2;QQ4;PORTAL;4;126,75;4815,75
2021;4;7;14;Q2;QQ3;PORTAL;2;2240;2259,5
2021;4;8;13;Q1;QQ2;PORTAL;1;2003;768
2021;4;8;16;Q2;QQ3;PORTAL;7;96997,86;16576,29
2021;4;9;12;Q1;QQ2;PORTAL;2;36,5;5584
2021;4;9;15;Q2;QQ3;PORTAL;9;203,33;13614,33
2021;4;11;16;Q2;QQ3;PORTAL;1;215;280731
2021;4;12;9;Q1;QQ1;PORTAL;2;43174,5;1908
2021;4;13;11;Q1;QQ2;PORTAL;1;300;600
2021;4;13;14;Q2;QQ3;PORTAL;7;50975,57;11238,86
2021;4;13;17;Q2;QQ4;PORTAL;1;98;3591
2021;4;14;7;Q1;QQ1;PORTAL;3;134;36945
2021;4;14;13;Q1;QQ2;PORTAL;7;60511,86;8340,43
2021;4;14;16;Q2;QQ3;PORTAL;1;247;3745
2021;4;15;9;Q1;QQ1;PORTAL;3;145,67;637,67
2021;4;15;15;Q2;QQ3;PORTAL;4;280,5;1140
2021;4;16;8;Q1;QQ1;PORTAL;6;1980,33;38363
2021;4;16;11;Q1;QQ2;PORTAL;1;438;7092
2021;4;16;14;Q2;QQ3;PORTAL;17;101675,35;20590,76
2021;4;17;13;Q1;QQ2;PORTAL;1;690;259912
2021;4;19;8;Q1;QQ1;PORTAL;6;209,17;81248
2021;4;20;7;Q1;QQ1;PORTAL;3;7169;57915
2021;4;20;10;Q1;QQ1;PORTAL;1;300;600
2021;4;22;8;Q1;QQ1;PORTAL;4;52283,5;87670,5
2021;4;23;7;Q1;QQ1;PORTAL;4;29583,5;390253,25
2021;5;4;19;Q2;QQ4;PORTAL;1;243;8235
2021;5;5;18;Q2;QQ4;PORTAL;1;46457;199
2021;5;6;14;Q2;QQ3;PORTAL;1;56774;2835
2021;5;7;16;Q2;QQ3;PORTAL;2;2475,5;6104,5
2021;5;8;15;Q2;QQ3;PORTAL;1;39;285985
2021;5;10;13;Q1;QQ2;PORTAL;3;25357,67;5330,33
2021;5;10;16;Q2;QQ3;PORTAL;1;72425;21224
